Statistic,Duke,"Opponents
OPP",Year
Scoring,,,2023
"Total Points
TOT",2830,2387,2023
"Points Per Game
PPG",78.6,66.3,2023
"Scoring Margin
Margin",12.3,--,2023
Shooting,,,2023
"FG: Made-Attempted
FGM-FGA",1004-2111,884-2055,2023
"FG: Percentage
FG%",.476,.430,2023
"FG: Per Game
FGM/G",27.9,24.6,2023
"3PT: Made-Attempted
3PT-3PA",298-791,227-713,2023
"3PT: Percentage
3PT%",.377,.318,2023
"3PT: Per Game
3PT/G",8.3,6.3,2023
"FT: Made-Attempted
FTM-FTA",524-725,392-578,2023
"FT: Percentage
FT%",.723,.678,2023
"FT: Per Game
FT/G",14.6,10.9,2023
Rebounding,,,2023
"Total
TOT",1318,1136,2023
"Per Game
RPG",36.6,31.6,2023
Margin,5.1,--,2023
Assists,,,2023
"Total
TOT",551,450,2023
"Per Game
APG",15.3,12.5,2023
Turnovers,,,2023
"Total
TOT",349,407,2023
"Per Game
TO/G",9.7,11.3,2023
Margin,1.6,--,2023
"Assist/Turnover Ratio
A/TO",1.6,1.1,2023
"Points Off Turnovers
PTS OFF TO",14.5,10.1,2023
Steals,,,2023
"Total
TOT",235,192,2023
"Per Game
STL/G",6.5,5.3,2023
Blocks,,,2023
"Total
TOT",132,159,2023
"Per Game
BLK/G",3.7,4.4,2023
Attendance,,,2023
"Total
TOT",167652,144655,2023
"Per Game
AVG","18-9,314","11-13,150",2023
