Year,Season,ranker,player,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
2024,2023-2024,1,Kyle Filipowski,36,36,30.4,6.1,12.1,.505,5.0,9.0,.559,1.1,3.1,.348,3.1,4.6,.671,2.2,6.1,8.3,2.8,1.1,1.5,2.1,3.0,16.4
2024,2023-2024,2,Jared McCain,36,36,31.6,4.9,10.5,.462,2.4,4.7,.521,2.4,5.8,.414,2.1,2.4,.885,0.8,4.2,5.0,1.9,1.1,0.1,1.3,1.6,14.3
2024,2023-2024,3,Jeremy Roach,35,33,32.7,4.7,10.1,.468,3.2,6.5,.489,1.5,3.6,.429,2.9,3.5,.844,0.6,1.9,2.5,3.3,1.1,0.1,1.4,2.1,14.0
2024,2023-2024,4,Mark Mitchell,33,32,28.6,4.1,7.6,.540,3.8,6.4,.590,0.3,1.2,.275,3.0,4.8,.623,2.2,3.7,6.0,1.1,0.8,0.7,1.2,1.6,11.6
2024,2023-2024,5,Tyrese Proctor,32,25,30.4,3.8,8.9,.423,1.9,3.7,.521,1.8,5.2,.352,1.2,1.5,.755,0.1,2.9,3.0,3.7,0.7,0.1,1.3,1.6,10.5
2024,2023-2024,6,Caleb Foster,27,15,25.4,2.7,6.2,.437,1.7,3.6,.459,1.0,2.6,.406,1.2,1.8,.688,0.4,2.0,2.4,2.1,0.6,0.1,1.1,2.0,7.7
2024,2023-2024,7,Ryan Young,36,2,11.8,1.1,1.9,.582,1.1,1.8,.591,0.0,0.0,.000,0.6,1.0,.629,1.4,2.1,3.4,0.8,0.3,0.5,0.8,1.8,2.8
2024,2023-2024,8,Sean Stewart,33,0,8.3,1.1,1.9,.571,1.1,1.9,.571,0.0,0.0,,0.5,0.8,.536,1.3,1.8,3.2,0.2,0.5,0.5,0.4,1.5,2.6
2024,2023-2024,9,TJ Power,26,0,7.0,0.7,2.0,.333,0.1,0.3,.222,0.6,1.6,.357,0.2,0.3,.857,0.2,0.5,0.7,0.2,0.2,0.1,0.2,0.5,2.1
2024,2023-2024,10,Jaylen Blakes,31,1,9.2,0.6,1.5,.400,0.4,0.8,.500,0.2,0.6,.263,0.5,0.5,.941,0.2,0.6,0.8,0.4,0.7,0.2,0.3,1.0,1.8
2024,2023-2024,11,Christian Reeves,3,0,5.3,0.7,1.0,.667,0.7,1.0,.667,0.0,0.0,,0.3,0.7,.500,0.3,1.3,1.7,0.0,0.0,0.3,0.7,1.0,1.7
2024,2023-2024,12,Spencer Hubbard,10,0,2.2,0.2,0.6,.333,0.1,0.2,.500,0.1,0.4,.250,0.1,0.2,.500,0.0,0.3,0.3,0.2,0.0,0.0,0.1,0.8,0.6
2024,2023-2024,13,Neal Begovich,8,0,2.1,0.0,0.5,.000,0.0,0.1,.000,0.0,0.4,.000,0.3,0.3,1.000,0.1,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.3
2023,2022-2023,1,Kyle Filipowski,36,36,29.1,5.3,11.9,.441,4.3,8.5,.505,1.0,3.4,.282,3.6,4.7,.765,2.5,6.5,9.0,1.6,1.3,0.7,2.5,2.6,15.1
2023,2022-2023,2,Jeremy Roach,32,30,33.2,5.0,11.6,.427,3.5,7.4,.475,1.4,4.2,.343,2.2,2.8,.780,0.7,1.8,2.5,3.1,0.9,0.0,2.2,1.8,13.6
2023,2022-2023,3,Tyrese Proctor,36,34,29.4,3.2,8.4,.381,1.9,4.3,.439,1.3,4.1,.320,1.7,1.9,.871,0.5,2.6,3.1,3.3,0.6,0.1,1.6,1.6,9.4
2023,2022-2023,4,Mark Mitchell,35,35,27.1,3.3,6.9,.469,2.7,5.4,.503,0.5,1.5,.352,2.0,2.7,.763,1.3,3.2,4.5,1.2,0.6,0.5,1.3,1.0,9.1
2023,2022-2023,5,Dariq Whitehead,28,7,20.6,3.0,7.0,.421,1.5,3.5,.414,1.5,3.5,.429,0.8,1.0,.793,0.5,2.0,2.4,1.0,0.8,0.2,1.4,1.5,8.3
2023,2022-2023,6,Ryan Young,36,9,17.6,2.5,3.6,.685,2.5,3.6,.685,0.0,0.0,,1.4,1.8,.813,2.3,3.2,5.5,1.3,0.3,0.5,1.1,2.1,6.4
2023,2022-2023,7,Dereck Lively,34,27,20.6,2.3,3.4,.658,2.2,3.1,.721,0.1,0.4,.154,0.6,1.0,.600,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2
2023,2022-2023,8,Jacob Grandison,36,0,15.9,1.5,3.8,.401,0.6,1.2,.548,0.9,2.6,.337,0.4,0.5,.889,0.4,1.6,2.0,1.3,0.4,0.1,0.5,1.0,4.4
2023,2022-2023,9,Jaylen Blakes,32,2,13.2,1.0,2.9,.355,0.6,1.5,.367,0.5,1.4,.341,0.8,1.2,.649,0.3,1.2,1.5,1.3,0.6,0.2,0.6,1.3,3.3
2023,2022-2023,10,Jaden Schutt,14,0,6.9,0.7,2.0,.357,0.2,0.6,.375,0.5,1.4,.350,0.1,0.3,.500,0.2,0.9,1.1,0.4,0.1,0.1,0.0,0.3,2.1
